icao,timestamp,latitude,longitude,altitude,velocity,heading,label,distance_km,climb_rate,acceleration,heading_change,speed_consistency,velocity_std,rule_anomaly,if_score,if_anomaly,lstm_error,lstm_anomaly,final_score,final_anomaly
06A2C5,0,22.88855,85.235379,50000.0,700.0,94.68,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09618523472026541,1,0.09607033249336078,1,1.0,1
06A2FA,0,22.839366,85.855662,50000.0,700.0,94.98,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09618523472026541,1,0.09599006725864376,1,1.0,1
4074E3,0,19.472242,78.312295,50000.0,700.0,345.26,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.11105374875883878,1,0.08084295307970507,1,1.0,1
4D21C8,0,19.878571,84.089257,50000.0,700.0,208.87,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.0955518816227171,1,0.07671417466201691,1,1.0,1
504E6C,0,22.686676,85.695157,50000.0,700.0,254.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09446074413980254,1,0.07450811720463836,1,1.0,1
601103,0,22.882101,85.335083,50000.0,700.0,93.79,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09618523472026541,1,0.09630944949643197,1,1.0,1
70209A,0,22.917114,84.86554,50000.0,700.0,274.73,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09798639866198455,1,0.07476074208175286,1,1.0,1
70C0FE,0,19.282961,84.853105,50000.0,700.0,289.36,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09853948713862737,1,0.07534394917019574,1,1.0,1
750550,0,19.59272,86.489169,50000.0,700.0,315.37,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10300846851355505,1,0.07722802094821246,1,1.0,1
76CD76,0,18.125427,85.651968,50000.0,700.0,313.73,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10220583001368133,1,0.07707508587380758,1,1.0,1
7705C2,0,18.186081,84.267112,50000.0,700.0,46.02,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.09585357932586258,1,0.11132111908933037,1,1.0,1
